Brand Name;2023 Final scores - SECTION 1;2023 FINAL PERCENTAGES -  SECTION 1;2022 Final scores - SECTION 1;2022 FINAL PERCENTAGES -  SECTION 1;% change in score 2022-2023;2021 Final scores - SECTION 1;2021 FINAL PERCENTAGES -  SECTION 1;% change in score 2021-2023;2020 Final scores - SECTION 1;2020 FINAL PERCENTAGES -  SECTION 1;% change in score 2020-2023;2019 Final scores - SECTION 1;2019 FINAL PERCENTAGES -  SECTION 1;% change in score 2019-2023;2018 Final scores - SECTION 1;2018 FINAL PERCENTAGES -  SECTION 1;% change in score 2018-2023;2017 Final scores  - SECTION 1;2017 FINAL PERCENTAGES - SECTION 1;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Vans;29,75;90,15%;30,5;92,42%;-2,27%;30,25;91,67%;-1,52%;41,5;88,30%;1,85%;39,5;80,61%;9,54%;40,5;84,38%;5,78%;;;;;;;;;;;;;;;;;;;;
Vero Moda;21;63,64%;22,75;68,94%;-5,30%;21;63,64%;0,00%;32;68,09%;-4,45%;32,5;66,33%;-2,69%;26;54,17%;9,47%;;;;;;;;;;;;;;;;;;;;
Versace;21,75;65,91%;17;51,52%;14,39%;19;57,58%;8,33%;9,5;20,21%;45,70%;16,5;33,67%;32,24%;6,5;13,54%;52,37%;;;;;;;;;;;;;;;;;;;;
Very;19,25;58,33%;17,75;53,79%;4,55%;23;69,70%;-11,36%;26,5;56,38%;1,95%;14;28,57%;29,76%;;;;;;;;;;;;;;;;;;;;;;;
Victoria's Secret;19,25;58,33%;19,75;59,85%;-1,52%;19;57,58%;0,76%;24;51,06%;7,27%;26;53,06%;5,27%;25;52,08%;6,25%;21,5;43,00%;15,33%;;;;;;;;;;;;;;;;;
Walmart;23;69,70%;23,5;71,21%;-1,52%;25,25;76,52%;-6,82%;37;78,72%;-9,03%;36,5;74,49%;-4,79%;32,5;67,71%;1,99%;34;68,00%;1,70%;;;;;;;;;;;;;;;;;
Woolworths South Africa;24,5;74,24%;25;75,76%;-1,52%;23;69,70%;4,55%;26,5;56,38%;17,86%;;;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
Wrangler;25,25;76,52%;27,25;82,58%;-6,06%;24,5;74,24%;2,27%;41,5;88,30%;-11,78%;39,5;80,61%;-4,10%;40,5;84,38%;-7,86%;27,5;55,00%;21,52%;;;;;;;;;;;;;;;;;
Youngor;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;6,5;13,54%;-13,54%;;;;;;;;;;;;;;;;;;;;
Zalando;20,75;62,88%;23;69,70%;-6,82%;27,25;82,58%;-19,70%;39,5;84,04%;-21,16%;42;85,71%;-22,84%;38,5;80,21%;-17,33%;25;50,00%;12,88%;;;;;;;;;;;;;;;;;
Zara;29,5;89,39%;29,75;90,15%;-0,76%;29,5;89,39%;0,00%;40,5;86,17%;3,22%;43;87,76%;1,64%;42;87,50%;1,89%;43;86,00%;3,39%;;;;;;;;;;;;;;;;;
Zeeman;26,5;80,30%;25;75,76%;4,55%;23;69,70%;10,61%;23;48,94%;31,37%;;;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
