Brand Name;2023 Final scores - SECTION 3;2023 FINAL PERCENTAGES -  SECTION 3;2022 Final scores - SECTION 3;2022 FINAL PERCENTAGES -  SECTION 3;% change in score 2022-2023;2021 Final scores - SECTION 3;2021 FINAL PERCENTAGES -  SECTION 3;% change in score 2021-2022;2020 Final scores - SECTION 3;2020 FINAL PERCENTAGES -  SECTION 3;% change in score 2020-2021;2019 Final scores - SECTION 3;2019 FINAL PERCENTAGES -  SECTION 3;% change in score 2019-2022;2018 Final scores - SECTION 3;2018 FINAL PERCENTAGES -  SECTION 3;% change in score 2018-2022;2017 Final scores  - SECTION 3;2017 FINAL PERCENTAGES - SECTION 3;% change in score 2017-2022;Percentage of brands in the Index, which have been targeted by the Transparency Pledge;;;;;;;;;;;;;;;;
Splash;1;1,35%;0;0,00%;1,35%;0;0,00%;1,35%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Sports Direct;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Steve Madden;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Stradivarius;8;10,81%;1;1,37%;9,44%;1;1,35%;9,46%;15;18,99%;-8%;16;18,82%;-8,01%;11;12,94%;-2,13%;;;#VALUE!;;;;;;;;;;;;;;;;;
Superdry;19;25,68%;1;1,37%;24,31%;1;1,35%;24,32%;1;1,27%;24%;1;1,18%;24,50%;1;1,18%;24,50%;;;#VALUE!;;;;;;;;;;;;;;;;;
Takko;1;1,35%;1;1,37%;-0,02%;4;5,41%;-4,05%;1;1,27%;0%;0;0,00%;1,35%;0;0,00%;1,35%;;;#VALUE!;;;;;;;;;;;;;;;;;
Target;22;29,73%;20;27,40%;2,33%;24;32,43%;-2,70%;23;29,11%;1%;12;14,12%;15,61%;16;18,82%;10,91%;16;18,82%;10,91%;;;;;;;;;;;;;;;;;
Target Australia;65;87,84%;67;91,78%;-3,94%;41;55,41%;32,43%;12;15,19%;73%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Tchibo;34;45,95%;33;45,21%;0,74%;38;51,35%;-5,41%;33;41,77%;4%;35;41,18%;4,77%;20;23,53%;22,42%;;;#VALUE!;;;;;;;;;;;;;;;;;
Ted Baker;20;27,03%;21;28,77%;-1,74%;19;25,68%;1,35%;22;27,85%;-1%;0;0,00%;27,03%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Tesco;46;62,16%;43;58,90%;3,26%;24;32,43%;29,73%;33;41,77%;20%;19;22,35%;39,81%;10;11,76%;50,40%;9;10,59%;51,57%;;;;;;;;;;;;;;;;;
Tezenis;69;93,24%;71;97,26%;-4,02%;0;0,00%;93,24%;0;0,00%;93%;0;0,00%;93,24%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
The Children's Place;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
The North Face;63;85,14%;60;82,19%;2,94%;62;83,78%;1,35%;64;81,01%;4%;55;64,71%;20,43%;31;36,47%;48,66%;9;10,59%;74,55%;;;;;;;;;;;;;;;;;
The Warehouse;0;0,00%;20;27,40%;-27,40%;18;24,32%;-24,32%;28;35,44%;-35%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Timberland;63;85,14%;60;82,19%;2,94%;62;83,78%;1,35%;64;81,01%;4%;55;64,71%;20,43%;31;36,47%;48,66%;9;10,59%;74,55%;;;;;;;;;;;;;;;;;
TJ Maxx;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
Tod's;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;8;10,13%;-10%;4;4,71%;-4,71%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Tom Ford;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Tom Tailor;47;63,51%;45;61,64%;1,87%;51;68,92%;-5,41%;11;13,92%;50%;0;0,00%;63,51%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Tommy Bahama;1;1,35%;0;0,00%;1,35%;0;0,00%;1,35%;0;0,00%;1%;0;0,00%;1,35%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Tommy Hilfiger;32;43,24%;52;71,23%;-27,99%;53;71,62%;-28,38%;41;51,90%;-9%;22;25,88%;17,36%;9;10,59%;32,66%;1;1,18%;42,07%;;;;;;;;;;;;;;;;;
TOPVALU COLLECTION;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Tory Burch;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Triumph;6;8,11%;0;0,00%;8,11%;0;0,00%;8,11%;0;0,00%;8%;0;0,00%;8,11%;0;0,00%;8,11%;0;0,00%;8,11%;;;;;;;;;;;;;;;;;
Truworths;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
UGG;55;74,32%;68;93,15%;-18,83%;72;97,30%;-22,97%;1;1,27%;73%;1;1,18%;73,15%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Under Armour;15;20,27%;18;24,66%;-4,39%;18;24,32%;-4,05%;21;26,58%;-6%;18;21,18%;-0,91%;19;22,35%;-2,08%;0;0,00%;20,27%;;;;;;;;;;;;;;;;;
Uniqlo;33;44,59%;29;39,73%;4,87%;24;32,43%;12,16%;17;21,52%;23%;18;21,18%;23,42%;11;12,94%;31,65%;11;12,94%;31,65%;;;;;;;;;;;;;;;;;
United Arrows;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
United Colors of Benetton;69;93,24%;67;91,78%;1,46%;63;85,14%;8,11%;58;73,42%;20%;41;48,24%;45,01%;29;34,12%;59,13%;12;14,12%;79,13%;;;;;;;;;;;;;;;;;
Urban Outfitters;0;0,00%;1;1,37%;-1,37%;0;0,00%;0,00%;26;32,91%;-33%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
Valentino;19;25,68%;0;0,00%;25,68%;0;0,00%;25,68%;0;0,00%;26%;0;0,00%;25,68%;0;0,00%;25,68%;;;#VALUE!;;;;;;;;;;;;;;;;;
Van Heusen;0;0,00%;0;0,00%;0,00%;53;71,62%;-71,62%;41;51,90%;-52%;22;25,88%;-25,88%;9;10,59%;-10,59%;;;#VALUE!;;;;;;;;;;;;;;;;;
Vans;63;85,14%;60;82,19%;2,94%;62;83,78%;1,35%;64;81,01%;4%;55;64,71%;20,43%;31;36,47%;48,66%;;;#VALUE!;;;;;;;;;;;;;;;;;
