Brand Name;2023 Final scores - SECTION 4;2023 FINAL PERCENTAGES -  SECTION 4;2022 Final scores - SECTION 4;2022 FINAL PERCENTAGES -  SECTION 4;% change in score 2022-2023;2021 Final scores - SECTION 4;2021 FINAL PERCENTAGES -  SECTION 4;% change in score 2021-2023;2020 Final scores - SECTION 4;2020 FINAL PERCENTAGES -  SECTION 4;% change in score 2020-2023;2019 Final scores - SECTION 4;2019 FINAL PERCENTAGES -  SECTION 4;% change in score 2019-2023;2018 Final scores - SECTION 4;2018 FINAL PERCENTAGES -  SECTION 4;% change in score 2018-2023;2017 Final scores  - SECTION 4;2017 FINAL PERCENTAGES - SECTION 4;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Banana Republic;23;54,76%;23;46,00%;8,76%;25;53,19%;1,57%;24;38,10%;17%;33;47,14%;7,62%;40;54,05%;0,71%;27;36,00%;18,76%;;;;;;;;;;;;;;;;;
BCBGMAXAZRIA;2;4,76%;2;4,00%;0,76%;3;6,38%;-1,62%;2;3,17%;2%;1;1,43%;3,33%;;;4,76%;;;4,76%;;;;;;;;;;;;;;;;;
Beanpole;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;2;3,17%;-3%;0;0,00%;0,00%;;;0,00%;;;0,00%;;;;;;;;;;;;;;;;;
Belle;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;0,00%;;;0,00%;;;;;;;;;;;;;;;;;
Bershka;25;59,52%;22;44,00%;15,52%;16;34,04%;25,48%;25;39,68%;20%;29;41,43%;18,10%;28;37,84%;21,69%;23;30,67%;28,86%;;;;;;;;;;;;;;;;;
Big Bazaar - ffb;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;0,00%;;;0,00%;;;;;;;;;;;;;;;;;
Big W;19;45,24%;15;30,00%;15,24%;18;38,30%;6,94%;22;34,92%;10%;;;#VALUE!;;;45,24%;;;45,24%;;;;;;;;;;;;;;;;;
Billabong;3;7,14%;3;6,00%;1,14%;0;0,00%;7,14%;4;6,35%;1%;;;#VALUE!;;;7,14%;;;7,14%;;;;;;;;;;;;;;;;;
Bloomingdale's;0;0,00%;1;2,00%;-2,00%;5;10,64%;-10,64%;7;11,11%;-11%;6;8,57%;-8,57%;13;17,57%;-17,57%;;;#VALUE!;;;;;;;;;;;;;;;;;
Bonprix;18;42,86%;18;36,00%;6,86%;14;29,79%;13,07%;20;31,75%;11%;10;14,29%;28,57%;14;18,92%;23,94%;;;#VALUE!;;;;;;;;;;;;;;;;;
boohoo;9;21,43%;10;20,00%;1,43%;6;12,77%;8,66%;6;9,52%;12%;8;11,43%;10,00%;;;21,43%;;;21,43%;;;;;;;;;;;;;;;;;
Bosideng;0;0,00%;4;8,00%;-8,00%;1;2,13%;-2,13%;0;0,00%;0%;;;#VALUE!;;;0,00%;;;0,00%;;;;;;;;;;;;;;;;;
Bottega Veneta;25;59,52%;23;46,00%;13,52%;21;44,68%;14,84%;27;42,86%;17%;20;28,57%;30,95%;23;31,08%;28,44%;17;22,67%;36,86%;;;;;;;;;;;;;;;;;
Brooks Sport;12;28,57%;9;18,00%;10,57%;9;19,15%;9,42%;14;22,22%;6%;;;#VALUE!;;;#VALUE!;;;28,57%;;;;;;;;;;;;;;;;;
Brunello Cucinelli;10;23,81%;10;20,00%;3,81%;6;12,77%;11,04%;6;9,52%;14%;2;2,86%;20,95%;;;#VALUE!;;;23,81%;;;;;;;;;;;;;;;;;
Buckle;4;9,52%;4;8,00%;1,52%;6;12,77%;-3,24%;5;7,94%;2%;6;8,57%;0,95%;10;13,51%;-3,99%;;;#VALUE!;;;;;;;;;;;;;;;;;
Burberry;20;47,62%;22;44,00%;3,62%;14;29,79%;17,83%;21;33,33%;14%;17;24,29%;23,33%;20;27,03%;20,59%;15;20,00%;27,62%;;;;;;;;;;;;;;;;;
Burlington;9;21,43%;10;20,00%;1,43%;7;14,89%;6,53%;7;11,11%;10%;6;8,57%;12,86%;11;14,86%;6,56%;3;4,00%;17,43%;;;;;;;;;;;;;;;;;
C&A;30;71,43%;29;58,00%;13,43%;24;51,06%;20,36%;37;58,73%;13%;28;40,00%;31,43%;30;40,54%;30,89%;25;33,33%;38,10%;;;;;;;;;;;;;;;;;
Calvin Klein;22;52,38%;25;50,00%;2,38%;24;51,06%;1,32%;23;36,51%;16%;22;31,43%;20,95%;28;37,84%;14,54%;14;18,67%;33,71%;;;;;;;;;;;;;;;;;
Calzedonia;19;45,24%;6;12,00%;33,24%;0;0,00%;45,24%;1;1,59%;44%;7;10,00%;35,24%;9;12,16%;33,08%;10;13,33%;31,90%;;;;;;;;;;;;;;;;;
Canada Goose;4;9,52%;1;2,00%;7,52%;5;10,64%;-1,11%;4;6,35%;3%;;;#VALUE!;;;#VALUE!;;;9,52%;;;;;;;;;;;;;;;;;
Carhartt;2;4,76%;3;6,00%;-1,24%;2;4,26%;0,51%;2;3,17%;2%;;;#VALUE!;;;#VALUE!;;;4,76%;;;;;;;;;;;;;;;;;
Carolina Herrera;4;9,52%;4;8,00%;1,52%;4;8,51%;1,01%;3;4,76%;5%;2;2,86%;6,67%;4;5,41%;4,12%;;;9,52%;;;;;;;;;;;;;;;;;
